ID,Name,modified_date
1,Ahmedabad,"2017-01-23 11:13:41"
2,Allahabad,"2017-01-23 11:13:41"
3,Bengaluru,"2017-01-23 11:13:41"
4,Chandigarh,"2017-01-23 11:13:41"
5,Chennai,"2017-01-23 11:13:41"
6,Guwahati,"2017-01-23 11:13:41"
7,Hyderabad,"2017-01-23 11:13:41"
8,Kolkata,"2017-01-23 11:13:41"
9,Mumbai,"2017-01-23 11:13:41"
10,"New Delhi Court II","2017-01-23 11:13:41"
11,"New Delhi Court III","2017-01-23 11:13:41"
12,"Principal Bench/New Delhi","2017-01-23 11:13:41"
13,"Mumbai Court I","2017-03-03 14:19:05"
14,"Mumbai Court II","2017-03-03 14:19:05"
15,"Kolkata Court I","2017-03-03 14:19:05"
16,"Kolkata Court II","2017-03-03 14:19:05"
17,"Mumbai Court III","2017-07-04 11:49:00"
18,"Ahmedabad DRT-1","2017-08-14 08:54:42"
19,"Ahmedabad DRT-2","2017-08-14 08:54:42"
20,"Allahabad DRT","2017-08-14 08:54:42"
21,"Aurangabad DRT","2017-08-14 08:54:42"
22,"Bangalore DRT","2017-08-14 08:54:42"
23,"Chandigarh DRT-1","2017-08-14 08:54:42"
24,"Chandigarh DRT-2","2017-08-14 08:54:42"
25,"Chandigarh DRT-3","2017-08-14 08:54:42"
26,"Chennai DRT-1","2017-08-14 08:54:42"
27,"Chennai DRT-2","2017-08-14 08:54:42"
28,"Chennai DRT-3","2017-08-14 08:54:42"
29,"Coimbatore DRT","2017-08-14 08:54:42"
30,"Cuttack DRT","2017-08-14 08:54:42"
31,"Delhi DRT-1","2017-08-14 08:54:42"
32,"Delhi DRT-2","2017-08-14 08:54:42"
33,"Delhi DRT-3","2017-08-14 08:54:42"
34,"Ernakulam DRT","2017-08-14 08:54:42"
35,"Ernakulam DRT-2","2017-08-14 08:54:42"
36,"Guwahati DRT","2017-08-14 08:54:42"
37,"Hyderabad DRT","2017-08-14 08:54:42"
38,"Hyderabad DRT-2","2017-08-14 08:54:42"
39,"Jabalpur DRT","2017-08-14 08:54:42"
40,"Jaipur DRT","2017-08-14 08:54:42"
41,"Kolkata DRT-1","2017-08-14 08:54:42"
42,"Kolkata DRT-2","2017-08-14 08:54:42"
43,"Kolkata DRT-3","2017-08-14 08:54:42"
44,"Lucknow DRT","2017-08-14 08:54:42"
45,"Madurai DRT","2017-08-14 08:54:42"
46,"Mumbai DRT-1","2017-08-14 08:54:42"
47,"Mumbai DRT-2","2017-08-14 08:54:42"
48,"Mumbai DRT-3","2017-08-14 08:54:42"
49,"Nagpur DRT","2017-08-14 08:54:42"
50,"Patna DRT","2017-08-14 08:54:42"
