ID,Board,modified_date
1,NCLT,"2017-01-23 11:14:52"
2,CLB,"2017-01-23 11:14:53"
3,"NCLAT ","2017-07-04 11:48:25"
4,BIFR,"2017-07-17 15:44:08"
5,DRT,"2017-07-28 10:33:13"
6,DRAT,"2017-07-28 10:33:13"
7,IBBI,"2017-07-28 10:33:14"
8,SAT,"2017-08-14 08:53:13"
9,CESTAT,"2017-08-14 08:53:13"
10,NGT,"2018-01-19 15:18:13"
11,CBEC,"2018-03-16 18:18:13"
12,RBI,"2018-07-23 10:42:02"
13,EPFO,"2018-07-23 10:42:02"
14,SEBI,"2019-08-30 16:12:06"
15,IRDAI,"2019-10-11 12:57:12"
16,DGFT,"2020-12-02 16:37:59"
17,NAA,"2020-12-02 16:37:59"
18,CBIC,"2020-12-02 16:37:59"
19,CCI,"2020-12-02 16:37:59"
20,SIFO,"2020-12-02 16:37:59"
21,CBI,"2020-12-02 16:37:59"
22,FIU-IND,"2020-12-02 16:37:59"
23,AAAR,"2020-12-04 16:04:47"
24,AAR,"2020-12-04 16:04:47"
25,ITAT,"2021-01-05 14:10:20"
26,APTEL,"2021-01-05 14:10:20"
27,TDSAT,"2021-01-05 14:10:20"
28,NCDRC,"2021-01-05 14:10:20"
29,PFRDA,"2021-01-05 14:10:20"
30,TRAI,"2021-01-05 14:10:20"
